"","game_date","time","home","guest","home_score","guest_score","date","hour","1","X","2","advantage","winner"
"1","2016-12-02","02:30","Brooklyn Nets","Milwaukee Bucks",93,111,"01/12/2016","09:25",1.75,18,1.75,4,"2"
"2","2016-12-02","02:30","Brooklyn Nets","Milwaukee Bucks",93,111,"01/12/2016","21:20",1.75,18,1.75,5,"2"
"3","2016-12-02","03:00","Cleveland Cavaliers","LA Clippers",94,113,"01/12/2016","09:25",1.75,18,1.75,-5,"2"
"4","2016-12-02","05:30","Golden State Warriors","Houston Rockets",113,113,"01/12/2016","09:25",1.75,18,1.75,-10,"2"
"5","2016-12-02","05:30","Golden State Warriors","Houston Rockets",113,113,"01/12/2016","22:55",1.75,18,1.75,-11,"2"
"6","2016-12-02","02:00","Charlotte Hornets","Dallas Mavericks",97,87,"01/12/2016","09:25",1.75,18,1.75,-11,"2"
"7","2016-12-02","03:00","Memphis Grizzlies","Orlando Magic",95,94,"01/12/2016","09:25",1.75,18,1.75,1,"1.0"
"8","2016-12-02","04:00","Utah Jazz","Miami Heat",110,111,"01/12/2016","09:25",1.75,18,1.75,-10,"2"
"9","2016-12-02","04:00","Utah Jazz","Miami Heat",110,111,"01/12/2016","21:20",1.75,18,1.75,-9,"2"
"10","2016-12-03","02:30","Boston Celtics","Sacramento Kings",97,92,"02/12/2016","07:55",1.8,9,1.8,-7,"2"
"11","2016-12-03","02:30","New York Knicks","Minnesota Timberwolves",118,114,"02/12/2016","08:00",1.8,9,1.8,-2,"1.0"
"12","2016-12-03","02:30","New York Knicks","Minnesota Timberwolves",118,114,"02/12/2016","15:35",1.8,9,1.8,-3,"1.0"
"13","2016-12-03","02:30","New York Knicks","Minnesota Timberwolves",118,114,"02/12/2016","22:50",1.8,9,1.8,1,"1.0"
"14","2016-12-03","03:30","San Antonio Spurs","Washington Wizards",107,105,"02/12/2016","08:00",1.8,9,1.8,-10,"2"
"15","2016-12-03","02:00","Philadelphia 76ers","Orlando Magic",88,105,"02/12/2016","07:55",1.8,9,1.8,-2,"2"
"16","2016-12-03","02:30","Toronto Raptors","Los Angeles Lakers",113,80,"02/12/2016","07:55",1.8,9,1.8,-10,"1.0"
"17","2016-12-03","03:00","Atlanta Hawks","Detroit Pistons",85,121,"02/12/2016","18:10",1.8,9,1.8,-3,"2"
